City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
149,port moresby,-9.4431,147.1797,29.68,79,40,1.54,PG,1713742230
150,yangambi,0.8102,24.4336,22.07,79,97,1.46,CD,1713742421
151,alice springs,-23.7,133.8833,14.75,63,75,2.06,AU,1713742421
152,swan hill,-35.3378,143.5544,15.9,39,0,1.73,AU,1713742130
153,beichengqu,40.4394,113.1536,10.13,32,37,5.27,CN,1713742423
154,paphos,34.7667,32.4167,14.88,67,0,3.09,CY,1713742424
155,caleta de carquin,-11.0925,-77.6267,20.99,85,60,3.49,PE,1713742424
156,tiksi,71.6872,128.8694,-4.67,95,100,4.65,RU,1713742425
157,san patricio,28.017,-97.5169,22.97,58,79,7.15,US,1713742425
158,la passe,45.5549,-0.8967,7.21,83,9,6.46,FR,1713742427
159,klyuchi,52.2667,79.1667,12.67,81,20,4.02,RU,1713742427
160,kununurra,-15.7667,128.7333,23.99,53,18,2.57,AU,1713742353
161,altai,46.3722,96.2583,-4.71,38,1,2.56,MN,1713742429
162,ascension,30.2169,-90.9001,21.0,51,0,5.66,US,1713742431
163,la sarre,48.8002,-79.1996,-6.83,68,100,5.3,CA,1713742389
164,gamba,-2.65,10.0,24.71,87,91,1.05,GA,1713742431
165,i-n-salah,27.1935,2.4607,27.01,10,8,4.18,DZ,1713742199
166,queenstown,-31.8976,26.8753,19.68,35,100,3.17,ZA,1713742432
167,askino,56.0901,56.5783,12.27,65,61,5.83,RU,1713742432
168,burayevo,55.8407,55.4083,12.25,71,59,5.14,RU,1713742432
169,muridke,31.8025,74.2617,23.01,40,64,3.1,PK,1713742433
170,novodvinsk,64.4165,40.8122,-5.12,95,98,2.82,RU,1713742433
171,ambon,-3.6954,128.1814,30.49,95,40,1.54,ID,1713742433
172,gadzhiyevo,69.2551,33.3362,-13.97,91,45,2.82,RU,1713742326
173,rawson,-43.3002,-65.1023,10.17,55,100,2.83,AR,1713742218
174,anadyr,64.75,177.4833,-9.72,72,100,12.0,RU,1713742293
175,cambria,35.5641,-121.0808,30.69,74,43,5.44,US,1713742361
176,shingu,33.7333,135.9833,17.53,94,100,3.92,JP,1713742434
177,metlili chaamba,32.2667,3.6333,16.52,39,0,5.14,DZ,1713742434
178,arraial do cabo,-22.9661,-42.0278,23.93,70,0,6.25,BR,1713742435
179,enewetak,11.3474,162.3373,28.12,75,82,5.8,MH,1713742396
180,palangkaraya,-2.2,113.8333,25.06,95,99,0.4,ID,1713742435
181,menaka,15.9182,2.4022,31.39,9,0,3.48,ML,1713742435
182,port mathurin,-19.6833,63.4167,26.83,79,100,7.09,MU,1713742375
183,kismayo,-0.3582,42.5454,27.05,84,100,2.85,SO,1713742436
184,la rioja,42.25,-2.5,4.88,85,26,2.46,ES,1713742436
185,sinabang,2.4803,96.3801,27.16,87,100,0.88,ID,1713742436
186,crane,31.3974,-102.3501,15.66,51,100,5.22,US,1713742437
187,san sebastian de la gomera,28.0916,-17.1133,20.77,59,0,2.06,ES,1713742380
188,mersa matruh,31.3525,27.2453,17.11,82,0,2.57,EG,1713742437
189,rio grande,-32.035,-52.0986,20.06,83,84,3.72,BR,1713742285
190,ivdel',60.6911,60.4206,6.77,79,45,1.34,RU,1713742438
191,heunghae,36.1125,129.3522,13.52,83,100,6.39,KR,1713742438
192,udachny,66.4167,112.4,-1.42,95,100,1.89,RU,1713742438
193,kenai,60.5544,-151.2583,9.05,49,100,2.57,US,1713742438
194,lesosibirsk,58.2358,92.4828,-2.27,96,100,5.28,RU,1713742439
195,dronero,44.4657,7.3513,4.47,92,99,1.99,IT,1713742439
196,polyarnyy,69.1989,33.4478,-13.3,88,69,2.71,RU,1713742441
197,nelson bay,-32.7167,152.15,22.22,84,96,2.24,AU,1713742442
198,reggane,26.7158,0.1714,25.39,12,22,5.08,DZ,1713742444
199,el calafate,-50.3408,-72.2768,3.96,76,7,2.46,AR,1713742290
200,mokhsogollokh,61.4681,128.9203,-4.32,96,86,2.71,RU,1713742444
201,midvagur,62.0511,-7.1939,6.46,75,75,4.63,FO,1713742444
202,ancud,-41.8697,-73.8203,7.92,72,100,2.5,CL,1713742446
203,monze,-16.2833,27.4833,17.31,57,0,2.32,ZM,1713742447
204,puerto baquerizo moreno,-0.9,-89.6,25.04,88,56,3.24,EC,1713742226
205,talara,-4.5772,-81.2719,26.42,69,0,5.14,PE,1713742448
206,ravar,31.2656,56.8055,19.76,32,28,1.54,IR,1713742448
207,yeniseysk,58.4497,92.1703,-2.25,92,100,1.34,RU,1713742301
208,ulety,51.3572,112.4849,2.51,96,100,1.95,RU,1713742448
209,gadani,25.1185,66.7299,25.12,82,0,8.34,PK,1713742449
210,rongelap,11.1635,166.8941,27.45,79,72,8.1,MH,1713742449
211,strezhevoy,60.7333,77.5889,-0.02,96,97,3.13,RU,1713742449
212,peniche,39.3558,-9.3811,16.16,93,33,3.11,PT,1713742449
213,zeya,53.75,127.2667,4.71,89,100,4.2,RU,1713742431
214,egilsstadir,65.2653,-14.3948,3.95,60,0,2.57,IS,1713742450
215,hot springs village,34.6655,-93.01,16.95,35,38,1.79,US,1713742164
216,sanok,49.5557,22.2056,4.13,98,100,1.56,PL,1713742450
217,prince albert,53.2001,-105.7677,13.97,35,75,4.63,CA,1713742270
218,markovo,57.3206,107.0881,1.33,88,100,1.94,RU,1713742451
219,vorgashor,67.5833,63.95,-20.63,100,41,3.67,RU,1713742451
220,palikir - national government center,6.9248,158.1611,28.47,84,100,6.69,FM,1713742335
221,bentota,6.4254,79.9948,27.78,78,81,0.3,LK,1713742452
222,pisco,-13.7,-76.2167,23.03,78,0,6.69,PE,1713742454
223,hadibu,12.65,54.0333,27.41,80,30,1.8,YE,1713742168
224,sosnovo-ozerskoye,52.5249,111.5418,2.92,65,100,4.15,RU,1713742454
225,kalmunai,7.4167,81.8167,26.47,89,73,2.93,LK,1713742324
226,yolbasi,37.3889,41.3171,13.56,55,27,2.94,TR,1713742456
227,mersing,2.4312,103.8405,24.95,94,20,1.03,MY,1713742456
228,grabouw,-34.1515,19.0151,13.6,81,28,2.3,ZA,1713742456
229,barranca,-10.75,-77.7667,20.86,82,40,2.76,PE,1713742457
230,akureyri,65.6835,-18.0878,6.96,39,0,7.2,IS,1713742457
231,zonguldak,41.25,31.8333,8.54,71,1,2.35,TR,1713742459
232,hamilton,39.1834,-84.5333,11.36,47,40,4.12,US,1713742238
233,mangrol,21.1167,70.1167,25.3,67,75,5.25,IN,1713742460
234,whitehorse,60.7161,-135.0538,12.43,18,20,6.71,CA,1713742460
235,dazhou,31.2159,107.5009,17.51,82,100,0.37,CN,1713742460
236,sao paulo de olivenca,-3.3783,-68.8725,25.31,90,100,1.16,BR,1713742460
237,krutinka,56.0055,71.5113,5.33,85,77,2.59,RU,1713742462
238,altay,47.8667,88.1167,8.76,34,6,3.26,CN,1713742265
239,prince rupert,54.3161,-130.3201,8.05,95,100,9.26,CA,1713742462
240,peruibe,-24.32,-46.9983,19.47,93,0,1.81,BR,1713742462
241,utrik,11.2278,169.8474,27.32,78,94,8.13,MH,1713742305
242,dompu,-8.5356,118.4622,26.29,93,100,1.4,ID,1713742463
243,urangan,-25.3,152.9,24.0,76,100,4.02,AU,1713742465
244,aginskoye,51.1,114.53,1.89,77,100,8.16,RU,1713742468
245,coquimbo,-29.9533,-71.3436,17.85,77,0,2.06,CL,1713742292
246,berezovyy,51.6667,135.7,3.37,72,82,0.8,RU,1713742468
247,vadso,70.0744,29.7487,-4.91,68,100,8.23,NO,1713742453
248,galesong,-5.3166,119.3661,26.01,83,93,2.21,ID,1713742470
249,bardai,11.65,7.2333,26.99,50,83,5.19,NG,1713742366
250,iqaluit,63.7506,-68.5145,-15.15,72,75,5.66,CA,1713742223
